v4.0.3	CONSENSUS ASSESSMENTS INITIATIVE QUESTIONNAIRE v4.0.3										
Question ID	Question	CSP CAIQ Answer	SSRM Control Ownership	CSP Implementation Description (Optional/Recommended)	CSC Responsibilities  (Optional/Recommended)			CCM Control ID	CCM Control Specification	CCM Control Title	CCM Domain Title
TVM-09.1	"Is a process defined and implemented to track and report vulnerability identification
and remediation activities that include stakeholder notification?
"	Yes	CSP-owned	"Any vulnerabilities detected during penetration tests (internal or external) are filed to our issue-tracking system, Jira. Once entered, they are assigned internal vulnerability ranking according to the OWASP risk rating framework based on likelihood and impact, outlined in TVM-08.1. These issues are tracked through to resolution in accordance with company policy and industry best practice recommendations. Our processes are evaluated against both SOC 2 and ISO 27001 standards."				TVM-09	"Define and implement a process for tracking and reporting vulnerability
identification and remediation activities that includes stakeholder notification.
"	Vulnerability Management Reporting	
TVM-10.1	"Are metrics for vulnerability identification and remediation established,
monitored, and reported at defined intervals?
"	Yes	CSP-owned					TVM-10	"Establish, monitor and report metrics for vulnerability identification
and remediation at defined intervals.
"	Vulnerability Management Metrics	
UEM-01.1	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for all endpoints?
"	Yes	CSP-owned	"Instructure maintains both a Network Security Policy and a IT Acceptable Use Policy which outline procedures, processed and policies for all endpoints on both production and corporate networks. These policies are evaluated against both SOC 2 and ISO 27001 standards."				UEM-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for all endpoints. Review and update the policies and
procedures at least annually.
"	Endpoint Devices Policy and Procedures	Universal Endpoint Management
UEM-01.2	"Are universal endpoint management policies and procedures reviewed and updated
at least annually?
"	Yes	CSP-owned	At least annually.							
UEM-02.1	"Is there a defined, documented, applicable and evaluated list containing approved
services, applications, and the sources of applications (stores) acceptable for
use by endpoints when accessing or storing organization-managed data?
"	Yes	CSP-owned	"Instructure maintains an IT Acceptable Use Policy that addresses the acceptable use of mobile devices and outlines prohibited uses such as jailbroken devices, storing customer data, or using devices without Instructure's MDM-profile present. Within the IT Acceptable Use Policy, we outline Mobile Device Usage policy which defines approved usage parameters and applications only from approved App Stores can be loaded onto a mobile device.
 
 Instructure also maintains a Bring Your Own Device (BYOD) policy which prohibits a number of insecure parameters and ensures BYOD devices only connect through trusted networks."				UEM-02	"Define, document, apply and evaluate a list of approved services,
applications and sources of applications (stores) acceptable for use by endpoints
when accessing or storing organization-managed data.
"	Application and Service Approval	
UEM-03.1	"Is a process defined and implemented to validate endpoint device compatibility
with operating systems and applications?
"	Yes	CSP-owned					UEM-03	"Define and implement a process for the validation of the endpoint
device's compatibility with operating systems and applications.
"	Compatibility	
UEM-04.1	"Is an inventory of all endpoints used and maintained to store and access company
data?
"	Yes	CSP-owned					UEM-04	"Maintain an inventory of all endpoints used to store and access company
data.
"	Endpoint Inventory	
UEM-05.1	"Are processes, procedures, and technical measures defined, implemented and
evaluated, to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data?
"	Yes	CSP-owned					UEM-05	"Define, implement and evaluate processes, procedures and technical
measures to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data.
"	Endpoint Management	
UEM-06.1	"Are all relevant interactive-use endpoints configured to require an automatic
lock screen?
"	Yes	CSP-owned					UEM-06	"Configure all relevant interactive-use endpoints to require an automatic
lock screen.
"	Automatic Lock Screen	
UEM-07.1	"Are changes to endpoint operating systems, patch levels, and/or applications
managed through the organizational change management process?
"	Yes	CSP-owned					UEM-07	"Manage changes to endpoint operating systems, patch levels, and/or
applications through the company's change management processes.
"	Operating Systems	
UEM-08.1	"Is information protected from unauthorized disclosure on managed endpoints
with storage encryption?
"	Yes	CSP-owned	"Instructure utilizes endpoint security software to centrally manage employee devices which includes but is not limited to:
 _ Full disk encryption
 _ Mobile Device Management (MDM)
 _ Endpoint detection and response (EDR)"				UEM-08	"Protect information from unauthorized disclosure on managed endpoint
devices with storage encryption.
"	Storage Encryption	
UEM-09.1	"Are anti-malware detection and prevention technology services configured on
managed endpoints?
"	Yes	CSP-owned					UEM-09	"Configure managed endpoints with anti-malware detection and prevention
technology and services.
"	Anti-Malware Detection and Prevention	
UEM-10.1	"Are software firewalls configured on managed endpoints?
"	Yes	CSP-owned					UEM-10	"Configure managed endpoints with properly configured software firewalls.
"	Software Firewall	
UEM-11.1	"Are managed endpoints configured with data loss prevention (DLP) technologies
and rules per a risk assessment?
"	Yes	CSP-owned	"Instructure maintains policies, processes (monitoring) and technologies that enforce DLP within our environment."				UEM-11	"Configure managed endpoints with Data Loss Prevention (DLP) technologies
and rules in accordance with a risk assessment.
"	Data Loss Prevention	
UEM-12.1	"Are remote geolocation capabilities enabled for all managed mobile endpoints?
"	Yes	CSP-owned	"Yes, wherever possible."				UEM-12	"Enable remote geo-location capabilities for all managed mobile endpoints.
"	Remote Locate	
UEM-13.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable remote company data deletion on managed endpoint devices?
"	Yes	CSP-owned	Instructure maintains a centralized Mobile Device Management (MDM) solution which provides the capability to remote wipe the data on employee devices where required.				UEM-13	"Define, implement and evaluate processes, procedures and technical
measures to enable the deletion of company data remotely on managed endpoint
devices.
"	Remote Wipe	
UEM-14.1	"Are processes, procedures, and technical and/or contractual measures defined,
implemented, and evaluated to maintain proper security of third-party endpoints
with access to organizational assets?
"	Yes	CSP-owned					UEM-14	"Define, implement and evaluate processes, procedures and technical
and/or contractual measures to maintain proper security of third-party endpoints
with access to organizational assets.
"	Third-Party Endpoint Security Posture	
End of Standard											
"© Copyright 2023 Cloud Security Alliance - All rights reserved.  You may download, store, display on your computer, view, print, and link to the Cloud Security Alliance “Consensus Assessments Initiative Questionnaire (CAIQ) Version 4.0.3” at http://www.cloudsecurityalliance.org subject to the following: (a) the Consensus Assessments Initiative Questionnaire v4.0.3 may be used solely for your personal, informational, non-commercial use; (b) the Consensus Assessments Initiative Questionnaire v4.0.3 may not be modified or altered in any way; (c) the Consensus Assessments Initiative Questionnaire v4.0.3 may not be redistributed; and (d) the trademark, copyright or other notices may not be removed. You may quote portions of the Consensus Assessments Initiative Questionnaire v4.0.3 as permitted by the Fair Use provisions of the United States Copyright Act, provided that you attribute the portions to the Cloud Security Alliance Consensus Assessments Initiative Questionnaire Version 4.0.3. If you are interested in obtaining a license to this #material for other usages not addresses in the copyright notice, please contact info@cloudsecurityalliance.org. "											
